step = 91, t = 9.352038067773933e-5, dt = 1.0144467017917914e-6
step = 92, t = 9.453482737953113e-5, dt = 1.0144467017917914e-6
step = 93, t = 9.554927408132292e-5, dt = 1.0144467017917914e-6
step = 94, t = 9.656372078311472e-5, dt = 1.0144467017917914e-6
step = 95, t = 9.757816748490651e-5, dt = 1.0144467017917914e-6
step = 96, t = 9.85926141866983e-5, dt = 1.0144467017917914e-6
step = 97, t = 9.96070608884901e-5, dt = 1.0144467017917914e-6
step = 98, t = 0.0001006215075902819, dt = 1.0144467017917914e-6
step = 99, t = 0.00010163595429207369, dt = 1.0144467017917914e-6
step = 100, t = 0.00010265040099386549, dt = 1.0144467017917914e-6
step = 101, t = 0.00010366484769565728, dt = 1.0144467017917914e-6
step = 102, t = 0.00010467929439744908, dt = 1.0144467017917914e-6
step = 103, t = 0.00010569374109924087, dt = 1.0144467017917914e-6
step = 104, t = 0.00010670818780103267, dt = 1.0144467017917914e-6
step = 105, t = 0.00010772263450282446, dt = 1.0144467017917914e-6
step = 106, t = 0.00010873708120461626, dt = 1.0144467017917914e-6
step = 107, t = 0.00010975152790640805, dt = 1.0144467017917914e-6
step = 108, t = 0.00011076597460819985, dt = 1.0144467017917914e-6
step = 109, t = 0.00011178042130999164, dt = 1.0144467017917914e-6
step = 110, t = 0.00011279486801178344, dt = 1.0144467017917914e-6
step = 111, t = 0.00011380931471357524, dt = 1.0144467017917914e-6
step = 112, t = 0.00011482376141536703, dt = 1.0144467017917914e-6
step = 113, t = 0.00011583820811715883, dt = 1.0144467017917914e-6
step = 114, t = 0.00011685265481895062, dt = 1.0144467017917914e-6
step = 115, t = 0.00011786710152074242, dt = 1.0144467017917914e-6
step = 116, t = 0.00011888154822253421, dt = 1.0144467017917914e-6
step = 117, t = 0.00011989599492432601, dt = 1.0144467017917914e-6
step = 118, t = 0.0001209104416261178, dt = 1.0144467017917914e-6
step = 119, t = 0.0001219248883279096, dt = 1.0144467017917914e-6
step = 120, t = 0.0001228363262073158, dt = 9.114378794061997e-7
step = 121, t = 0.000123747764086722, dt = 9.114378794061997e-7
step = 122, t = 0.00012465920196612818, dt = 9.114378794061997e-7
step = 123, t = 0.00012557063984553436, dt = 9.114378794061997e-7
step = 124, t = 0.00012648207772494055, dt = 9.114378794061997e-7
step = 125, t = 0.00012739351560434674, dt = 9.114378794061997e-7
step = 126, t = 0.00012830495348375293, dt = 9.114378794061997e-7
step = 127, t = 0.00012921639136315912, dt = 9.114378794061997e-7
step = 128, t = 0.0001301278292425653, dt = 9.114378794061997e-7
step = 129, t = 0.0001309458119300858, dt = 8.17982687520493e-7
step = 130, t = 0.00013176379461760627, dt = 8.17982687520493e-7
step = 131, t = 0.00013258177730512676, dt = 8.17982687520493e-7
step = 132, t = 0.00013339975999264724, dt = 8.17982687520493e-7
step = 133, t = 0.00013421774268016772, dt = 8.17982687520493e-7
step = 134, t = 0.0001350357253676882, dt = 8.17982687520493e-7
step = 135, t = 0.0001358537080552087, dt = 8.17982687520493e-7
step = 136, t = 0.00013658861489057115, dt = 7.349068353624615e-7
step = 137, t = 0.0001373235217259336, dt = 7.349068353624615e-7
step = 138, t = 0.00013805842856129605, dt = 7.349068353624615e-7
step = 139, t = 0.0001387933353966585, dt = 7.349068353624615e-7
step = 140, t = 0.00013952824223202096, dt = 7.349068353624615e-7
step = 141, t = 0.00014026314906738342, dt = 7.349068353624615e-7
step = 142, t = 0.00014099805590274587, dt = 7.349068353624615e-7
step = 143, t = 0.00014165813860788804, dt = 6.60082705142172e-7
step = 144, t = 0.00014231822131303021, dt = 6.60082705142172e-7
step = 145, t = 0.00014297830401817238, dt = 6.60082705142172e-7
step = 146, t = 0.00014363838672331455, dt = 6.60082705142172e-7
step = 147, t = 0.00014429846942845672, dt = 6.60082705142172e-7
step = 148, t = 0.0001449585521335989, dt = 6.60082705142172e-7
step = 149, t = 0.00014561863483874107, dt = 6.60082705142172e-7
step = 150, t = 0.00014627871754388324, dt = 6.60082705142172e-7
step = 151, t = 0.0001469388002490254, dt = 6.60082705142172e-7
step = 152, t = 0.00014759888295416758, dt = 6.60082705142172e-7
step = 153, t = 0.00014825896565930975, dt = 6.60082705142172e-7
step = 154, t = 0.00014891904836445192, dt = 6.60082705142172e-7
step = 155, t = 0.0001495791310695941, dt = 6.60082705142172e-7
step = 156, t = 0.00015023921377473626, dt = 6.60082705142172e-7
step = 157, t = 0.00015089929647987843, dt = 6.60082705142172e-7
step = 158, t = 0.0001515593791850206, dt = 6.60082705142172e-7
step = 159, t = 0.00015215305199244388, dt = 5.936728074232832e-7
step = 160, t = 0.00015274672479986717, dt = 5.936728074232832e-7
step = 161, t = 0.00015334039760729045, dt = 5.936728074232832e-7
step = 162, t = 0.00015393407041471374, dt = 5.936728074232832e-7
step = 163, t = 0.00015452774322213703, dt = 5.936728074232832e-7
step = 164, t = 0.0001551214160295603, dt = 5.936728074232832e-7
step = 165, t = 0.0001557150888369836, dt = 5.936728074232832e-7
step = 166, t = 0.00015630876164440688, dt = 5.936728074232832e-7
step = 167, t = 0.00015690243445183017, dt = 5.936728074232832e-7
step = 168, t = 0.00015749610725925345, dt = 5.936728074232832e-7
step = 169, t = 0.00015808978006667674, dt = 5.936728074232832e-7
step = 170, t = 0.00015868345287410002, dt = 5.936728074232832e-7
step = 171, t = 0.0001592771256815233, dt = 5.936728074232832e-7
step = 172, t = 0.0001598707984889466, dt = 5.936728074232832e-7
step = 173, t = 0.00016046447129636988, dt = 5.936728074232832e-7
step = 174, t = 0.00016105814410379316, dt = 5.936728074232832e-7
step = 175, t = 0.00016165181691121645, dt = 5.936728074232832e-7
step = 176, t = 0.00016224548971863973, dt = 5.936728074232832e-7
step = 177, t = 0.00016283916252606302, dt = 5.936728074232832e-7
step = 178, t = 0.0001634328353334863, dt = 5.936728074232832e-7
step = 179, t = 0.0001640265081409096, dt = 5.936728074232832e-7
step = 180, t = 0.00016462018094833288, dt = 5.936728074232832e-7
step = 181, t = 0.00016521385375575616, dt = 5.936728074232832e-7
step = 182, t = 0.00016580752656317945, dt = 5.936728074232832e-7
step = 183, t = 0.00016640119937060273, dt = 5.936728074232832e-7
step = 184, t = 0.00016699487217802602, dt = 5.936728074232832e-7
step = 185, t = 0.0001675885449854493, dt = 5.936728074232832e-7
step = 186, t = 0.0001681822177928726, dt = 5.936728074232832e-7
step = 187, t = 0.00016877589060029587, dt = 5.936728074232832e-7
step = 188, t = 0.00016936956340771916, dt = 5.936728074232832e-7
step = 189, t = 0.00016996323621514244, dt = 5.936728074232832e-7
step = 190, t = 0.00017055690902256573, dt = 5.936728074232832e-7
step = 191, t = 0.000171150581829989, dt = 5.936728074232832e-7
step = 192, t = 0.0001717442546374123, dt = 5.936728074232832e-7
